"File","Type","Name","Alias","Country"
"SDN","Entity","AEROCARIBBEAN AIRLINES","null","CUBA"
"SDN","Entity","ANGLO-CARIBBEAN CO. LTD.","null","CUBA"
"SDN","Entity","BANCO NACIONAL DE CUBA","null","CUBA"
"SDN","Entity","BOUTIQUE LA MAISON","null","CUBA"
"SDN","Entity","CASA DE CUBA","null","CUBA"
"SDN","Entity","CECOEX S.A.","null","CUBA"
"SDN","Entity","CIMEX","null","CUBA"
"SDN","Entity","CIMEX IBERICA","null","CUBA"
"SDN","Entity","CIMEX S.A.","null","CUBA"
"SDN","Entity","COMERCIAL IBEROAMERICANA S.A.","null","CUBA"
"SDN","Entity","COMERCIAL CIMEX S.A.","null","CUBA"
"SDN","Entity","COMERCIAL DE RODAJES Y MAQUINARIA S.A.","null","CUBA"
"SDN","Entity","COMERCIALIZACION DE PRODUCTOS VARIOS","null","CUBA"
"SDN","Entity","COMPANIA DE IMPORTACION Y EXPORTACION IBERIA","null","CUBA"
"SDN","Entity","CORPORACION CIMEX S.A.","null","CUBA"
"SDN","Entity","COTEI","null","CUBA"
"SDN","Entity","CRYMSA - ARGENTINA S.A.","null","CUBA"
"SDN","Entity","CUBACANCUN CIGARS AND GIFT SHOPS","null","CUBA"
"SDN","Entity","CUBAEXPORT","null","CUBA"
"SDN","Entity","CUBAFRUTAS","null","CUBA"
"SDN","Entity","CUBAN CIGARS TRADE","null","CUBA"
"SDN","Entity","CUBANATUR","null","CUBA"
"SDN","Entity","CUBATABACO","null","CUBA"
"SDN","Entity","CUMEXINT S.A.","null","CUBA"
"SDN","Entity","DELVEST HOLDING S.A.","null","CUBA"
"SDN","Entity","EDICIONES CUBANAS","null","CUBA"
"SDN","Entity","EDYJU S.A.","null","CUBA"
"SDN","Entity","EMPRESA CUBANA DE AVIACION","null","CUBA"
"SDN","Entity","EMPRESA CUBANA DE PESCADOS Y MARISCOS","null","CUBA"
"SDN","Entity","EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL","null","CUBA"
"SDN","Entity","ETCO INTERNATIONAL COMMODITIES LTD.","null","CUBA"
"SDN","Entity","ETCO INTERNATIONAL COMPANY LIMITED","null","CUBA"
"SDN","Entity","GALAX TRADING CO. LTD.","null","CUBA"
"SDN","Entity","HAVIN BANK LIMITED","null","CUBA"
"SDN","Entity","HAVANATUR","null","CUBA"
"SDN","Entity","INSTITUTO NACIONAL DE TURISMO DE CUBA","null","CUBA"
"SDN","Entity","INTERCONSULT","null","CUBA"
"SDN","Entity","KAVE S.A.","null","CUBA"
"SDN","Entity","LA EMPRESA CUBANA DE FLETES","null","CUBA"
"SDN","Entity","LEVERAGE S.A.","null","CUBA"
"SDN","Entity","NIREF","null","CUBA"
"SDN","Entity","NORDSTRAND LTD.","null","CUBA"
"SDN","Entity","NORDSTRAND MARITIME AND TRADING COMPANY","null","CUBA"
"SDN","Entity","PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION","null","CUBA"
"SDN","Entity","PESCABRAVA S.A.","null","CUBA"
"SDN","Entity","PRELASA","null","CUBA"
"SDN","Entity","PRENSA LATINA CANADA LTD.","null","CUBA"
"SDN","Entity","PRENSA LATINA","null","CUBA"
"SDN","Entity","SERVINAVES S.A.","null","CUBA"
"SDN","Entity","TROBER S.A.","null","CUBA"
"SDN","Entity","TROPIC TOURS GMBH","null","CUBA"
"SDN","Entity","VIAJES GUAMA S.A.","null","CUBA"
"SDN","Entity","VINALES TOURS","null","CUBA"
"SDN","Individual","ABBAS Abu","null","SDGT"
"SDN","Individual","AL RAHMAN Shaykh Umar Abd","null","SDGT"
"SDN","Individual","AL ZAWAHIRI Dr. Ayman","null","SDGT"
"SDN","Individual","AL-ZOMOR Abboud Abdul Latif Hassan","null","SDGT"
"SDN","Individual","AWDA Abd Al Aziz","null","SDGT"
"SDN","Individual","FADLALLAH Shaykh Muhammad Husayn","null","SDGT"
"SDN","Individual","HAWATMA Nayif","null","SDGT"
"SDN","Individual","ISLAMBOULI Mohammad Shawqi","null","SDGT"
"SDN","Individual","JABRIL Ahmad","null","SDGT"
"SDN","Individual","NAJI Talal Muhammad Rashid","null","SDGT"
"SDN","Individual","NASRALLAH Hasan","null","SDGT SYRIA"
"SDN","Individual","TUFAYLI Subhi","null","SDGT"
"SDN","Individual","YASSIN Sheik Ahmed Ismail","null","SDGT"
"SDN","Entity","COBALT REFINERY CO. INC.","null","CUBA"
"SDN","Entity","LA COMPANIA GENERAL DE NIQUEL","null","CUBA"
"SDN","Entity","INTERNATIONAL COBALT CO. INC.","null","CUBA"
"SDN","Entity","MOA NICKEL SA","null","CUBA"
"SDN","Individual","ABU MARZOOK Mousa Mohammed","null","SDGT"
"SDN","Individual","RODRIGUEZ OREJUELA Gilberto Jose","null","SDNT"
"SDN","Individual","RODRIGUEZ OREJUELA Miguel Angel","null","SDNT"
"SDN","Vessel","MAR AZUL","null","CUBA"
"SDN","Vessel","EBANO","null","CUBA"
"SDN","Vessel","TIFON","null","CUBA"
"SDN","Individual","ABDALLAH Ramadan","null","SDGT"
"SDN","Entity","BANK MARKAZI JOMHOURI ISLAMI IRAN","null","IRAN SDGT IRGC IFSR"
"SDN","Entity","BANK MASKAN","null","IRAN IRAN-EO13902"
"SDN","Entity","BANK REFAH KARGARAN","null","IRAN IRAN-EO13902"
"SDN","Entity","BANK KESHAVARZI IRAN","null","IRAN IRAN-EO13902"
"SDN","Entity","BANK SADERAT PLC","null","IRAN SDGT IFSR"
"SDN","Entity","ABU SAYYAF GROUP","null","FTO SDGT"
"SDN","Entity","ARMED ISLAMIC GROUP","null","SDGT"
"SDN","Entity","AUM SHINRIKYO","null","SDGT"
"SDN","Entity","EUZKADI TA ASKATASUNA","null","SDGT"
"SDN","Entity","GAMA'A AL-ISLAMIYYA","null","SDGT"
"SDN","Entity","HAMAS","null","FTO SDGT"
"SDN","Entity","HARAKAT UL-MUJAHIDEEN","null","FTO SDGT"
"SDN","Entity","HIZBALLAH","null","FTO SDGT SYRIA"
"SDN","Entity","KAHANE CHAI","null","SDGT"
"SDN","Entity","KURDISTAN WORKERS' PARTY","null","SDNTK FTO SDGT"
"SDN","Entity","LIBERATION TIGERS OF TAMIL EELAM","null","FTO SDGT"
"SDN","Entity","NATIONAL LIBERATION ARMY","null","FTO SDGT"
"SDN","Entity","PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION","null","FTO SDGT"
"SDN","Entity","PALESTINE LIBERATION FRONT - ABU ABBAS FACTION","null","FTO SDGT"
"SDN","Entity","POPULAR FRONT FOR THE LIBERATION OF PALESTINE","null","FTO SDGT"
"SDN","Entity","POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND","null","FTO SDGT"
"SDN","Entity","REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT","null","FTO SDGT"
"SDN","Entity","REVOLUTIONARY PEOPLE'S STRUGGLE","null","SDGT"
"SDN","Entity","SHINING PATH","null","SDNTK FTO SDGT"
"SDN","Entity","DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION","null","SDGT"
"SDN","Individual","BIN LADIN Usama bin Muhammad bin Awad","null","SDGT"
"SDN","Entity","AL QA'IDA","null","FTO SDGT"
"SDN","Individual","AL-MASRI Abu Hafs","null","SDGT"
"SDN","Individual","MUSA Rifa'i Ahmad Taha","null","SDGT"
"SDN","Entity","COLOMBIANA DE CERDOS LTDA.","null","SDNT"
"SDN","Entity","DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.","null","SDNT"
"SDN","Entity","MATADERO METROPOLITANO LTDA.","null","SDNT"
"SDN","Individual","OMAR Mohammed","null","SDGT"
"SDN","Entity","TALIBAN","null","SDGT"
"SDN","Entity","COMERCIALIZADORA DE CARNES LTDA.","null","SDNT"
"SDN","Entity","SERVIAUTOS UNO A 1A LIMITADA","null","SDNT"
"SDN","Individual","AMEZCUA CONTRERAS Jose de Jesus","null","SDNTK"
"SDN","Individual","AMEZCUA CONTRERAS Luis Ignacio","null","SDNTK"
"SDN","Individual","ARELLANO FELIX Ramon Eduardo","null","SDNTK"
"SDN","Individual","CARO QUINTERO Rafael","null","SDNTK"
"SDN","Individual","CARRILLO FUENTES Vicente","null","SDNTK"
"SDN","Individual","CHANG Chi Fu","null","SDNTK"
"SDN","Individual","HEATH Noel Timothy","null","SDNTK"
"SDN","Individual","OGUNGBUYI Oluwole A.","null","SDNTK"
"SDN","Individual","OGUNGBUYI Abeni O.","null","SDNTK"
"SDN","Individual","WEI Hsueh Kang","null","SDNTK"
"SDN","Individual","ARELLANO FELIX Benjamin Alberto","null","SDNTK"
"SDN","Individual","HENAO MONTOYA Arcangel de Jesus","null","SDNT"
"SDN","Entity","AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.","null","SDNT"
"SDN","Entity","COMPANIA AGROINVERSORA HENAGRO LTDA.","null","SDNT"
"SDN","Entity","DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.","null","SDNT"
"SDN","Entity","MAQUINARIA TECNICA Y TIERRAS LTDA.","null","SDNT"
"SDN","Entity","ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.","null","SDNT"
"SDN","Individual","GONZALEZ BENITEZ Olga Patricia","null","SDNT"
"SDN","Entity","ISLAMIC MOVEMENT OF UZBEKISTAN","null","FTO SDGT"
"SDN","Entity","CAVIEDES DILEO Y CIA. S.C.S.","null","SDNT"
"SDN","Individual","PATINO FOMEQUE Victor Julio","null","SDNT"
"SDN","Entity","INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A","null","SDNT"
"SDN","Entity","GALAPAGOS S.A","null","SDNT"
"SDN","Individual","DUQUE BOTERO Jorge Alirio","null","SDNT"
"SDN","Individual","ECHEVERRY HERRERA Hernando","null","SDNT"
"SDN","Entity","NEW IRISH REPUBLICAN ARMY","null","FTO SDGT"
"SDN","Individual","AFGHAN Sher","null","SDNTK"
"SDN","Individual","CARDENAS GUILLEN Osiel","null","SDNTK"
"SDN","Individual","CARO QUINTERO Miguel Angel","null","SDNTK"
"SDN","Individual","CHANG Ping Yun","null","SDNTK"
"SDN","Individual","GILBOA Joseph","null","SDNTK"
"SDN","Individual","GUZMAN LOERA Joaquin","null","SDNTK"
"SDN","Individual","HAMIEH Jamiel","null","SDNTK"
"SDN","Individual","HIGUERA GUERRERO Ismael","null","SDNTK"
"SDN","Individual","KHAN Nasir Ali","null","SDNTK"
"SDN","Individual","MALHERBE DE LEON Oscar","null","SDNTK"
"SDN","Individual","RAMON MAGANA Alcides","null","SDNTK"
"SDN","Entity","UNITED SELF-DEFENSE FORCES OF COLOMBIA","null","SDNTK SDGT"
"SDN","Entity","ASBAT AL-ANSAR","null","FTO SDGT"
"SDN","Entity","SALAFIST GROUP FOR CALL AND COMBAT","null","FTO SDGT"
"SDN","Entity","LIBYAN ISLAMIC FIGHTING GROUP","null","SDGT"
"SDN","Entity","AL-ITIHAAD AL-ISLAMIYA","null","SDGT"
"SDN","Entity","ISLAMIC ARMY OF ADEN","null","SDGT"
"SDN","Individual","AL-ADL Sayf","null","SDGT"
"SDN","Individual","AL-WALID Mahfouz Ould","null","SDGT"
"SDN","Individual","HUSAYN Zayn al-Abidin Muhammad","null","SDGT"
"SDN","Individual","AL-IRAQI Abd al-Hadi","null","SDGT"
"SDN","Individual","SHIHATA Thirwat Salah","null","SDGT"
"SDN","Individual","AHMAD Tariq Anwar al-Sayyid","null","SDGT"
"SDN","Entity","MAKHTAB AL-KHIDAMAT/AL KIFAH","null","SDGT"
"SDN","Entity","WAFA HUMANITARIAN ORGANIZATION","null","SDGT"
"SDN","Entity","AL RASHID TRUST","null","SDGT"
"SDN","Entity","MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY","null","SDGT"
"SDN","Individual","ABDULLAH Abdullah Ahmed","null","SDGT"
"SDN","Individual","ALI Ahmed Mohammed Hamed","null","SDGT"
